player1,player2,win_probability_p1,actual_outcome
Kostiuk B.,Sokoltsov Y.,0.4019,0
Mishchenko O.,Hrymovskyi O.,0.5661,0
Chaikovskyi B.,Kasianyk N.,0.4562,1
Volkov P.,Kobets V.,0.4452,1
Chepurnyi A.,Tkachov S.,0.499,0
Vlasenko V.,Hovorunets O.,0.4541,1
Pereyaslavsky D.,Kostiuk B.,0.6103,0
Dukhovenko O.,Mishchenko O.,0.5287,1
Shypilov A.,Chaikovskyi B.,0.5,0
Kobets V.,Samofal Y.,0.4292,0
Tkachov S.,Babenko P.,0.5009,0
Vlasenko V.,Sydorak N.,0.502,1
Volkov P.,Sokoltsov Y.,0.3867,1
Chepurnyi A.,Hrymovskyi O.,0.4511,0
Kasianyk N.,Hovorunets O.,0.4521,0
Pereyaslavsky D.,Kobets V.,0.5782,1
Dukhovenko O.,Tkachov S.,0.5889,0
Shypilov A.,Vlasenko V.,0.4089,0
Volkov P.,Kostiuk B.,0.5212,1
Chepurnyi A.,Mishchenko O.,0.4379,1
Chaikovskyi B.,Hovorunets O.,0.4604,0
Samofal Y.,Sokoltsov Y.,0.5079,1
Babenko P.,Hrymovskyi O.,0.4993,0
Sydorak N.,Kasianyk N.,0.548,1
Pereyaslavsky D.,Volkov P.,0.5321,0
Dukhovenko O.,Chepurnyi A.,0.5808,1
Kobets V.,Sokoltsov Y.,0.4016,0
Tkachov S.,Hrymovskyi O.,0.4583,1
Sedin V.,Tupyk M.,0.5227,1
Kostiuk B.,Samofal Y.,0.3704,1
Bihun R.,Tkachenko K.,0.5,0
Mishchenko O.,Babenko P.,0.4697,0
Fedoryshyn I.,Prilepa D.,0.4752,1
Hel V.,Bahrii O.,0.5,1
Baday M.,Tupyk M.,0.6634,1
Gatsenko I.,Pakhomovskyi V.,0.5,1
Melchenko A.,Kovpak E.,0.5,0
Sivovol S.,Cucerovschii S.,0.5,0
Kravnytskyi M.,Gil O.,0.5,1
Poturidis G.,Andrievskiy V.,0.5,0
Sedin V.,Fedoryshyn I.,0.5046,1
Lavrynenko P.,Strutynskyi O.,0.5,1
Hruby J.,Bosak D.,0.5,0
Virlan A.,Ungurean M.,0.5,1
Bihun R.,Bahrii O.,0.5,0
Kurischenko Y.,Shyndel I.,0.5329,0
Baday M.,Prilepa D.,0.6424,1
Chumak M.,Khomutovskyi Y.,0.5,1
Vietrov V.,Nazarov A.,0.5,0
